state_code,estimate,pop,issue_id,state_name
15,0.6044,1708066,workfare,Sachsen-Anhalt
16,0.6207,1614194,workfare,Thüringen
01,0.5284,2313578,econ_current_personal,Schleswig-Holstein
02,0.573,1431449,econ_current_personal,Hamburg
03,0.5193,6204994,econ_current_personal,Niedersachsen
04,0.4984,550759,econ_current_personal,Bremen
05,0.5198,14256301,econ_current_personal,Nordrhein-Westfalen
06,0.5458,4910495,econ_current_personal,Hessen
07,0.5284,3149298,econ_current_personal,Rheinland-Pfalz
08,0.5643,8784086,econ_current_personal,Baden-Württemberg
09,0.5669,10136201,econ_current_personal,Bayern
10,0.4951,809696,econ_current_personal,Saarland
11,0.5032,2877040,econ_current_personal,Berlin
12,0.5194,1973635,econ_current_personal,Brandenburg
13,0.4591,1265934,econ_current_personal,Mecklenburg-Vorpommern
14,0.5045,3118235,econ_current_personal,Sachsen
15,0.5061,1708066,econ_current_personal,Sachsen-Anhalt
16,0.5004,1614194,econ_current_personal,Thüringen
01,0.2811,2313578,econ_current_national,Schleswig-Holstein
02,0.3359,1431449,econ_current_national,Hamburg
03,0.2788,6204994,econ_current_national,Niedersachsen
04,0.2527,550759,econ_current_national,Bremen
05,0.2769,14256301,econ_current_national,Nordrhein-Westfalen
06,0.2972,4910495,econ_current_national,Hessen
07,0.2774,3149298,econ_current_national,Rheinland-Pfalz
08,0.3044,8784086,econ_current_national,Baden-Württemberg
09,0.2946,10136201,econ_current_national,Bayern
10,0.2271,809696,econ_current_national,Saarland
11,0.3091,2877040,econ_current_national,Berlin
12,0.294,1973635,econ_current_national,Brandenburg
13,0.2629,1265934,econ_current_national,Mecklenburg-Vorpommern
14,0.2852,3118235,econ_current_national,Sachsen
15,0.2581,1708066,econ_current_national,Sachsen-Anhalt
16,0.2943,1614194,econ_current_national,Thüringen
01,0.158,2313578,econ_retro_personal,Schleswig-Holstein
02,0.1939,1431449,econ_retro_personal,Hamburg
03,0.164,6204994,econ_retro_personal,Niedersachsen
04,0.1674,550759,econ_retro_personal,Bremen
05,0.163,14256301,econ_retro_personal,Nordrhein-Westfalen
06,0.1677,4910495,econ_retro_personal,Hessen
07,0.1634,3149298,econ_retro_personal,Rheinland-Pfalz
08,0.1726,8784086,econ_retro_personal,Baden-Württemberg
09,0.1667,10136201,econ_retro_personal,Bayern
10,0.1466,809696,econ_retro_personal,Saarland
11,0.1891,2877040,econ_retro_personal,Berlin
12,0.1521,1973635,econ_retro_personal,Brandenburg
13,0.1386,1265934,econ_retro_personal,Mecklenburg-Vorpommern
14,0.1535,3118235,econ_retro_personal,Sachsen
15,0.148,1708066,econ_retro_personal,Sachsen-Anhalt
16,0.1418,1614194,econ_retro_personal,Thüringen
01,0.1886,2313578,econ_prospect_personal,Schleswig-Holstein
02,0.2422,1431449,econ_prospect_personal,Hamburg
03,0.1901,6204994,econ_prospect_personal,Niedersachsen
04,0.214,550759,econ_prospect_personal,Bremen
05,0.2024,14256301,econ_prospect_personal,Nordrhein-Westfalen
06,0.2002,4910495,econ_prospect_personal,Hessen
07,0.1943,3149298,econ_prospect_personal,Rheinland-Pfalz
08,0.206,8784086,econ_prospect_personal,Baden-Württemberg
09,0.1903,10136201,econ_prospect_personal,Bayern
10,0.1804,809696,econ_prospect_personal,Saarland
11,0.2297,2877040,econ_prospect_personal,Berlin
12,0.15310000000000001,1973635,econ_prospect_personal,Brandenburg
13,0.1548,1265934,econ_prospect_personal,Mecklenburg-Vorpommern
14,0.1532,3118235,econ_prospect_personal,Sachsen
15,0.1561,1708066,econ_prospect_personal,Sachsen-Anhalt
16,0.1514,1614194,econ_prospect_personal,Thüringen
01,0.5823,2313578,democracy_satisfaction,Schleswig-Holstein
02,0.6261,1431449,democracy_satisfaction,Hamburg
03,0.5972,6204994,democracy_satisfaction,Niedersachsen
04,0.5728,550759,democracy_satisfaction,Bremen
