id,year,treat_no_well_perform_2014,own_econ_bad,own_econ_retrospect_worse,own_econ_gov_responsible_not,own_econ_prospect_worse,gen_econ_bad,gen_econ_retrospect_worse,gen_econ_gov_responsible_not,gen_econ_prospect_worse,cdu_performance_satisfied,csu_performance_satisfied,spd_performance_satisfied
35231,2018,,3,3,3,2,3,4,3,4,7,5,2
36333,2018,,3,3,2,3,2,2,3,4,5,4,6
37439,2019,,2,3,1,2,2,2,3,3,4,3,8
38539,2019,,3,3,2,3,3,4,3,2,2,2,5
39640,2019,,2,3,3,3,2,3,2,3,6,6,6
40717,2020,1,4,3,2,2,2,3,4,4,3,2,2
41810,2020,,2,5,3,4,2,3,2,4,7,8,11
42903,2020,,3,3,2,3,4,4,2,3,7,4,5
43981,2021,,2,3,4,2,3,2,3,4,10,10,9
45100,2021,1,2,4,3,2,2,4,2,2,8,1,8
46195,2021,0,3,4,2,4,4,4,2,4,5,1,3
47883,2022,,2,3,3,3,4,4,3,3,-94,-94,2
48995,2022,,4,4,1,2,2,5,1,2,-94,-94,6
50119,2022,,3,4,1,4,5,4,2,5,-94,-94,1
51238,2023,,4,4,2,2,3,3,3,2,-94,-94,9
1163,2009,,3,4,4,4,3,3,-94,2,5,5,-94
2294,2010,,2,5,5,1,5,4,-94,3,6,6,-94
3430,2010,,3,3,5,3,3,4,3,3,4,4,-94
4568,2010,,5,5,1,2,4,5,1,4,1,3,-94
5715,2010,,2,3,4,3,3,2,2,2,1,1,-94
6857,2011,,4,5,2,3,4,4,2,3,6,4,-94
7997,2011,1,1,2,2,1,1,2,2,3,10,9,-94
9140,2011,,3,3,3,3,3,3,3,3,6,6,-94
10299,2011,,5,5,2,4,4,4,1,4,1,1,-94
12427,2012,,4,3,2,3,4,3,2,3,1,1,-94
13502,2013,1,1,2,3,3,2,3,4,4,6,6,-94
14535,2013,1,4,4,2,2,3,4,2,4,1,1,-94
15584,2013,1,2,1,4,3,2,2,2,3,9,8,-94
16595,2013,1,4,4,2,3,3,4,2,4,7,7,-94
17643,2014,,3,4,3,4,3,3,3,4,5,4,7
18667,2014,,2,4,2,4,3,4,1,3,2,2,2
19713,2014,,3,3,3,3,2,3,4,3,1,1,2
20724,2014,,1,2,5,3,2,2,3,4,5,2,7
21744,2015,,2,4,4,4,3,4,3,3,10,8,8
22773,2015,,2,1,5,2,3,2,3,3,6,5,5
23792,2015,,2,3,3,3,2,2,2,4,9,4,7
24819,2015,1,3,3,3,4,3,2,3,4,6,6,6
25850,2016,,4,4,1,4,4,4,1,5,1,1,1
26865,2016,,3,3,2,3,-99,-99,-97,3,-99,-99,-99
27888,2016,,2,3,4,3,2,2,3,3,9,4,8
28911,2016,,2,3,3,3,3,4,3,4,7,7,7
29933,2017,,2,3,5,4,3,3,4,3,7,9,5
30941,2017,,2,3,4,3,2,2,3,3,4,1,9
32025,2017,,3,3,4,3,3,3,-99,3,10,9,10
33110,2017,,1,2,3,2,1,2,3,2,11,9,7
34126,2018,,5,5,1,5,2,2,3,3,1,1,2
35232,2018,,3,4,4,3,3,3,3,3,9,9,8
36334,2018,,1,3,4,3,2,3,2,3,8,7,8
37440,2019,,3,3,4,4,3,2,3,3,6,6,6
38540,2019,0,2,3,4,4,2,3,4,4,6,3,6
39641,2019,,2,3,2,2,4,4,2,4,2,1,4
40718,2020,1,2,2,5,2,3,4,2,4,3,2,9
41811,2020,,3,2,3,2,4,2,3,4,8,7,8
42904,2020,,3,4,1,4,4,5,1,4,6,8,6
43982,2021,1,4,4,1,4,4,5,1,5,2,2,2
45101,2021,,3,4,1,3,4,4,1,5,1,1,1
46196,2021,,3,4,4,2,5,4,2,3,7,8,5
47884,2022,,2,3,2,2,2,3,2,2,-94,-94,5
48996,2022,1,2,3,3,3,4,4,3,3,-94,-94,6
50120,2022,,2,2,4,4,3,4,3,5,-94,-94,8
51239,2023,0,2,4,1,2,2,2,1,2,-94,-94,4
1164,2009,,2,1,5,3,4,5,-94,1,10,11,-94
2295,2010,,2,2,5,4,4,4,-94,4,7,6,-94
3431,2010,1,3,4,2,3,4,5,2,2,1,1,-94
